Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 00:01:00,-16.3362829,64.09930464,192.49,,,14,8.6,2680922.73456,-785799.89317,5714732.36268,0.0402950271489,3.73102103231e-06,0.19067866656,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 03:01:00,-16.33628275,64.09930478,192.49,,,18,9.5,2680922.72314,-785799.882203,5714732.36949,0.0172362390985,1.59594806468e-06,0.184392309979,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 06:01:00,-16.336283,64.09930457,192.48,,,15,8.3,2680922.73573,-785799.898595,5714732.35027,0.028225527271,2.61347474731e-06,0.186002106234,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 09:01:00,-16.3362824,64.09930449,192.45,,,14,8.4,2680922.73908,-785799.869091,5714732.31939,0.0428419915277,3.96685106738e-06,0.17556980574,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 12:01:00,-16.33628291,64.09930457,192.45,,,17,8.6,2680922.72439,-785799.890698,5714732.32329,0.0264182764878,2.44613671183e-06,0.163519337702,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 15:01:00,-16.33628311,64.09930451,192.42,,,19,9.4,2680922.71485,-785799.898063,5714732.29338,0.0322465715223,2.98579365947e-06,0.146390051727,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 18:01:00,-16.33628283,64.09930451,192.43,,,14,11.5,2680922.72288,-785799.88619,5714732.30237,0.0169232076408,1.56696367044e-06,0.155120318271,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-28 21:01:00,-16.33628293,64.09930446,192.43,,,12,7.5,2680922.72632,-785799.892279,5714732.29994,0.00740578069598,6.85720434813e-07,0.158293243998,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 00:01:00,-16.33628288,64.0993044,192.43,,,14,8.4,2680922.73278,-785799.891632,5714732.29702,0.00711937924366,6.5920178182e-07,0.163839863241,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 03:01:00,-16.33628287,64.0993044,192.41,,,17,8.2,2680922.72453,-785799.888707,5714732.27903,0.0200059424644,1.85240208004e-06,0.15255874412,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 06:01:00,-16.336283,64.0993044,192.4,,,16,9.3,2680922.71856,-785799.893561,5714732.27003,0.011839743482,1.09627254463e-06,0.14633029298,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 09:01:00,-16.3362828,64.09930434,192.38,,,16,10.6,2680922.71869,-785799.883438,5714732.24912,0.0232344849751,2.1513412014e-06,0.146055431623,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 12:01:00,-16.33628284,64.09930436,192.37,,,16,10.6,2680922.71203,-785799.883517,5714732.2411,0.0104295406963,9.65698212621e-07,0.140400977124,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 15:01:00,-16.33628289,64.09930429,192.34,,,18,11.1,2680922.7055,-785799.884145,5714732.2107,0.0310940882456,2.87908224496e-06,0.141962534703,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 18:01:00,-16.33628262,64.09930426,192.34,,,16,10.4,2680922.71209,-785799.872358,5714732.20924,0.0135832337506,1.25770682876e-06,0.148564300476,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-29 21:01:00,-16.33628289,64.0993043,192.33,,,13,9.2,2680922.70035,-785799.882635,5714732.20219,0.0171232021973,1.58548168494e-06,0.140521823151,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 00:01:00,-16.33628281,64.09930429,192.34,,,13,8.3,2680922.7066,-785799.880402,5714732.2107,0.0107916050538,9.99222690166e-07,0.142857368806,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 03:01:00,-16.33628268,64.09930424,192.33,,,19,6.4,2680922.709,-785799.874501,5714732.19927,0.0130862627564,1.21169099596e-06,0.149530834227,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 06:01:00,-16.33628282,64.09930422,192.32,,,15,7.2,2680922.70481,-785799.880387,5714732.1893,0.0123113781893,1.13994242493e-06,0.150310196503,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 09:01:00,-16.33628264,64.09930408,192.28,,,14,8.0,2680922.70399,-785799.870999,5714732.1465,0.0438249362548,4.05786446804e-06,0.174561171973,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 12:01:00,-16.3362827,64.09930415,192.3,,,16,8.8,2680922.70481,-785799.874289,5714732.1679,0.0216669695263,2.00620088207e-06,0.161762341876,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 15:01:00,-16.33628273,64.09930417,192.3,,,18,7.5,2680922.70248,-785799.875129,5714732.16887,0.00266665679467,2.46912666173e-07,0.159283244749,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 18:01:00,-16.33628268,64.0993042,192.27,,,14,7.1,2680922.6877,-785799.868257,5714732.14335,0.0302841423227,2.8040872521e-06,0.165111944212,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-30 21:01:00,-16.33628276,64.09930417,192.3,,,12,7.6,2680922.70206,-785799.876533,5714732.16887,0.0304368439982,2.81822629613e-06,0.158935832748,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-31 00:01:00,-16.33628263,64.0993042,192.28,,,13,8.2,2680922.69258,-785799.867146,5714732.15234,0.0212453526724,1.96716228448e-06,0.162381053932,
Breidamerkurjokull Four Position 1,000004062094490,2018-08-31 03:01:00,-16.33628272,64.09930421,192.27,,,18,9.1,2680922.68619,-785799.869847,5714732.14384,0.0109772706817,1.01641395201e-06,0.163635697428,
